gene	logFC
ENTPD5	-0.322275777
HCFC1	-0.479402616
C3orf45	0.891543444
HAO1	-0.388285541
GLYATL2	0.727310914
MACROD2	0.535259414
CAPN6	0.644418701
CXADR	-0.717195083
RABGGTB	-0.25055152
CLDN19	0.315312444
MAPK11	0.398775074
C9orf79	0.674518338
ZNF570	-0.321698493
C5orf51	-0.307747453
SLC2A2	-0.287953675
ADAT2	0.213784042
HECW1	0.513037241
LOC284998	0.419716026
KRTAP6-1	0.496338266
FKBP15	-0.247755791
SH2D5	0.645214346
SLAIN2	-0.49024785
CXCL10	-0.70318926
ARV1	-0.189081795
KRI1	-0.190396109
KLHDC2	-0.222537601
C21orf90	-0.834433912
NETO2	0.338449392
SPPL2A	-0.221832609
EPB41L1	-0.457833286
JMJD7	-0.288525906
TYRO3	0.473082286
CA5B	-0.481162799
PMPCB	-0.427598329
ZCCHC4	-0.44866629
ABHD3	-0.244321656
SLC16A4	0.493933965
MYL6B	0.219209693
AMBRA1	-0.218678687
CPXM2	0.651442192
LOC100131434	-0.30734577
LOC283728	0.66046701
ANKRD53	0.649857649
PHACTR3	0.448871828
ZNF212	-0.297076152
C7orf25	-0.411170263
CENPI	0.590957609
C11orf95	0.582919272
KRT16	0.693866151
FLJ46906	0.34057588
MOGAT1	-0.554477403
DPYSL4	0.312623021
RFK	-0.243634682
NME3	-0.165040421
CCNYL1	-0.419738553
DET1	-0.283381424
RCL1	-0.186766544
OR5R1	0.469081756
PPFIA3	-0.388612902
ACAP3	0.348742719
POLR2J	0.158560833
SLCO3A1	-0.33978702
OR4S2	0.671640332
LOC729770	0.548177898
SKA1	0.458359232
GPX2	0.416217967
DIAPH3	0.542386748
THSD4	0.375951459
TULP1	0.997362003
ASL	0.218663589
TMPRSS2	0.432950466
BCAN	0.395166082
TTC25	-0.655266568
FUT4	-0.258080377
HVCN1	-0.269217468
SSX5	0.551653445
IL21	0.683590302
ERCC4	-0.442386355
SURF1	-0.18541673
CREB3L3	0.746128409
CACNB1	-0.325742192
MDM2	0.223341318
9-Mar	0.28127004
CDX2	0.750952114
RGS7	-0.362304325
DEFB103A	0.888755163
SEC61G	0.25178606
ZNF843	0.464246505
USP7	-0.336722612
SFRP2	0.423292621
ZCCHC12	0.63217258
FLJ34503	0.27276966
SGSM3	-0.321114592
AASDHPPT	-0.297649445
LOC646498	-0.515094877
MEP1B	0.61982951
TGFB1	-0.33855349
GMPPB	0.289642325
SALL3	0.319318414
ZCWPW2	-0.379880012
OR2H1	0.430479315
CCNK	0.28907399
LPPR2	0.481098172
NAT9	-0.187323616
NKPD1	0.337020855
ZFP64	-0.333983222
SCD5	0.479993311
CDC42EP4	-0.402819027
RBMY2FP	0.270074954
BECN1	-0.202419418
FIGNL2	0.323802302
BOK	0.350959473
C8orf44	-0.397703259
ZNF548	-0.488705609
RPS6	-0.235758538
CHST14	-0.469675331
MYO18A	-0.241567644
TTTY11	0.499002449
OR1M1	0.45781857
DCUN1D2	-0.390212441
TREH	0.440416907
FLJ27352	-0.415046309
NCF4	-0.197532906
PPP1R12B	-0.36557798
C8orf4	0.414039662
CORO1A	0.407186855
MATN2	0.608100089
PMS2L2	-0.276213634
TTC27	-0.217219049
ZNF484	-0.403021843
LOC400743	-0.513548485
GAS5	-0.262113474
C6orf127	0.39979522
FARSA	0.217922205
HIST1H2BC	0.327892861
PEPD	-0.223052581
C3P1	0.585220707
C20orf108	-0.197234432
FLJ39051	0.419815815
OR8B4	0.450506394
BOD1	-0.222263089
TMCO6	-0.302933827
RPS19	-0.236564447
ATP6V1G3	0.378197265
RND1	0.377989469
YTHDC1	-0.592450699
IL17B	0.66775621
LRRC58	-0.506692937
LOC100133091	0.466446243
ZNF276	-0.368904437
ISX	0.416256097
KRTAP19-6	-0.340099864
SEC61A2	-0.416551251
TOMM7	-0.246887938
CITED2	-0.227878429
OR6K6	0.639750172
PRDX2	-0.423567892
PHF20	-0.35958777
LOC100130811	0.566658911
DMGDH	0.409672641
LOC283867	-0.285303582
KLRC1	-0.757490622
SLC35B3	-0.350410218
C10orf90	0.73378059
FAM13B	-0.285038212
COL12A1	0.60656069
KLK13	0.440628853
B3GNT1	-0.264320576
MPZ	0.659589184
FLNA	0.245501008
PLVAP	0.451646149
UFM1	0.320811011
SEMA4D	-0.303424351
MFHAS1	-0.407205796
ZBED3	-0.236367024
KCNQ1DN	0.919668916
SNAP23	-0.289867668
C1orf170	0.773724271
NKX2-4	-0.226502559
CD2BP2	-0.285516622
SLC28A1	0.67962412
DNAJC18	-0.455608912
NR6A1	-0.369755444
SYT7	0.33863893
NMS	0.209151106
FAM46C	-0.655401745
OR52L1	0.435492476
CDH3	0.515649067
FHOD1	0.226630725
NXN	0.701674744
FAM76A	-0.310320263
TFEC	-0.258770068
PBX1	0.305127221
SHC1	-0.127421023
ACPT	0.466587089
LRRC40	-0.288598441
DKFZp547G183	-0.40277088
ZFP36L1	0.308754376
GRRP1	0.646100854
PIK3R5	0.384612911
ZNF341	-0.208111207
SLC22A12	0.741641949
LEP	0.692836369
NAALADL1	-0.367508369
OR8D1	0.370557277
IK	-0.230760525
CTSL1	0.322052064
SIPA1L3	-0.485556005
DTX4	-0.340436032
FASTKD2	-0.209271914
FAT2	0.402897596
ZNF615	-0.384318443
IKBKAP	-0.332558446
EFHD1	0.493796613
DPYSL3	0.567145939
MSLN	0.601086028
FOXJ2	-0.424194218
DHX37	-0.302225737
SULT2A1	0.319862048
PJA1	-0.215922607
LOC401561	0.498594339
SNORA23	-0.397871622
SNX10	-0.317316897
ZNF785	-0.425943489
MTMR9	-0.407068256
LOC100216546	-0.460208536
OR2A20P	-0.663382207
PCDHA2	-0.203092452
CXCL11	-0.857438045
GTPBP5	-0.241121585
ODAM	0.868083059
EXOSC10	-0.156348957
RAB22A	-0.289814678
TP53BP1	-0.216484224
RXFP3	0.439812598
FGFBP2	0.74113161
H2BFXP	0.571116969
LOC100132707	-0.263110349
PIK3C2B	-0.316777585
TMEM229A	0.428511676
ATL1	-0.361461969
NDST3	0.667686832
FAM182B	0.599496153
ZNF775	-0.216085385
KCNS1	0.557748994
GPR174	-0.537228404
KIAA1875	0.423716966
DEXI	0.327111441
TXNRD2	-0.370992623
ARHGAP30	-0.220706166
SETX	-0.304971283
INTS7	-0.42475366
ATP6V1G1	-0.18468032
THRSP	0.690291597
VPS36	-0.225195016
PATL1	-0.257940969
PCDHA4	0.914568362
PRMT6	0.204415202
IGFBP5	-0.394112173
OR4C12	0.389556196
CLECL1	0.492989437
WFIKKN2	-0.700663091
C1R	-0.404328983
C19orf76	0.586613298
PROP1	0.533259309
SERPIND1	0.319819684
RARS2	-0.199107474
AFF3	0.620920502
PATE3	0.386340731
GPR78	0.554830755
MYBPC1	0.902695189
LOC283861	-0.47780041
NLRP14	0.356673385
GPAA1	-0.178265527
SPANXB2	0.68521968
LOC648044	0.35079083
ATPAF1	-0.391189799
SUPT7L	-0.25386481
PRLHR	0.369799364
KIAA0895L	-0.361245918
FBLL1	0.401922965
LRRC45	0.349817885
PICK1	-0.173685826
WFDC12	0.489759662
CLASP2	-0.213716576
ARHGEF19	-0.234723632
HCN3	-0.511272878
CRAMP1L	-0.485053834
MRPL49	-0.161926292
C3orf77	-0.295980499
TMEM25	-0.46884785
TULP4	-0.252657947
NR1H3	-0.28577004
SPINK5	0.392144852
CEP120	-0.298163297
HTRA3	0.619676186
TOX	-0.42080363
NEFM	-0.216138461
IRF2BP2	-0.32410743
MMAB	-0.422307314
CRIPAK	-0.479194988
C19orf33	0.489631042
XRN1	-0.374438166
EIF2S2	-0.243773019
KATNA1	-0.209760803
HAS1	0.472219774
CDKAL1	-0.375376645
KRTAP1-3	0.277184494
OR56A3	0.418349205
TXNDC16	-0.492351016
OVCH2	0.265822756
COL4A4	0.472824796
PABPC1	-0.254055916
ZWINT	0.279799495
LOC441233	0.731897461
ENTPD1	-0.413557812
CES2	-0.289212451
PCDHGC3	0.47680469
CUX2	0.578984595
TAC3	-0.459785229
EIF5A2	-0.418237132
ZNF443	-0.41701197
DSC1	-0.230687191
FMO2	0.543591814
FAM90A7	-0.517223128
DCAF10	-0.261261207
LOC100652758	-0.411444333
SPP2	0.536999173
GMCL1	-0.461926321
C11orf49	-0.226496853
DPYSL2	-0.211296006
CCR5	0.378670144
DPEP3	0.504771246
NOC3L	-0.243692948
RPL30	-0.210790253
MYO18B	0.435247024
NRG3	0.498614973
TLN1	-0.31548946
TNFSF11	0.694388591
DPF1	0.385909277
PCGF3	-0.474061041
MYO6	-0.364292582
ACTN1	-0.229732016
LPCAT3	-0.181656763
OOEP	-0.382606747
MTSS1	0.592294577
SLC4A10	0.852650298
OR13F1	0.26270717
PRMT3	-0.282351386
TSPO2	0.305045219
MUCL1	-0.562599248
ATG7	0.216812681
SLC4A3	0.65991475
C2CD4C	0.364583378
SPDYE1	-0.250116045
KCP	0.295433982
CD3D	-0.450206
PARP11	-0.416355191
SCIN	0.557359502
AR	-0.60229536
LOC729424	0.455306242
NOTCH3	0.592556583
SPG7	-0.276809452
PIGX	-0.295724936
METTL13	-0.154374958
CRNDE	-0.459878537
LSMD1	0.207914315
OR51S1	0.676714524
CALCRL	-0.390561224
C1orf85	0.261693776
WIPI1	0.243225436
PARK2	-0.437799407
L2HGDH	-0.330165588
SLC19A3	-0.610620719
SLC16A11	0.384271113
MLKL	-0.291490301
APOBEC3C	-0.274396159
C14orf39	-0.209642827
HCP5	-0.34900513
TAPBPL	-0.258214115
MBD5	-0.423905418
BNC2	0.351173227
AMY1C	-0.414231255
SIK2	-0.305064377
OSTM1	-0.332678084
FLJ41649	0.538735901
TDO2	-0.511383157
DPYD	-0.197566431
LOC100132495	-0.496446511
LOC646626	0.362773075
MAN2B1	-0.288049599
YES1	-0.507225753
ABCB8	-0.337597965
LOC100128727	-0.242120608
FBN2	0.754104918
FAM162B	-0.179901728
CNTNAP1	0.457575769
MT1F	0.305636028
GBF1	-0.224947101
MIB2	-0.242238315
ADRA2B	0.484740752
PLA2G12B	0.879889986
LOC285778	0.253090957
WARS	-0.239280172
LOC126536	0.303368388
CHCHD8	-0.220071347
RNPEPL1	-0.241039573
CAMK2G	-0.237190622
HOXC12	0.369375852
TCFL5	-0.388240764
ENPP6	-0.543337631
POFUT1	-0.438056274
CDC42BPB	-0.259652258
C12orf62	-0.184447159
PRR16	0.643485218
AMPH	0.424045738
CD52	-0.234052563
C12orf74	0.453995089
CCDC3	0.307712404
TOMM6	0.170176126
LRRC26	0.375752928
CHRM3	-0.586399574
CHRNA5	-0.524865474
PDIA4	0.426422169
GPHA2	0.368913733
LETM1	0.444942891
AKAP6	-0.212864953
PSD	0.411326838
LMOD2	0.499828843
RLN3	0.654904138
WRNIP1	-0.213328119
HIST1H4H	0.463157699
XAGE2B	0.948805983
RIN3	-0.24864632
TAZ	-0.240337736
PNMA6C	0.475120094
DHH	0.370619134
RNASE4	-0.383975809
PALB2	-0.319664211
C2orf90	0.215653635
TBX2	0.797894017
C1QL2	0.721438196
HPR	-0.967780627
ODZ3	-0.407487848
PARP14	-0.320342813
OIP5	0.331119564
SLC5A4	0.372501406
LOC100132966	0.451432764
LZTR1	-0.242594365
MARCKSL1	0.611773564
CD79A	0.428081427
HIST1H1T	0.428603494
POM121L4P	0.330558941
FAT4	0.704402138
ME2	0.219367328
ANKRD40	-0.259397811
C12orf65	-0.273134949
CCDC25	-0.30655918
ZDHHC7	-0.213664448
ZNF101	-0.215084286
TMEM171	0.537972115
CSRNP3	0.780182682
ADCY9	-0.303464853
LEPR	-0.280859977
CLEC4G	0.570673263
DDC	-0.329271203
TRAM1	-0.240277177
MPL	0.734870597
LOC100129840	0.462305665
ADAM10	0.284830313
MUC4	0.391902969
OR5H6	0.525665638
PCDHGA5	0.729186639
SSSCA1	0.176303581
EMP3	0.286302829
NACAD	0.720435069
FLJ10038	-0.503648351
NYX	0.386913586
CASP14	0.594807915
CIB3	0.493429754
RNF169	-0.281812386
SMG7	-0.303707194
DAAM1	-0.375853999
PHF2	-0.292971877
OXT	0.355622444
DMBX1	0.373602429
FLJ37505	0.478996895
C12orf52	0.314491117
SYNE1	0.433325988
MLF1IP	0.377636973
KCTD12	-0.253905498
ZNF667	-0.289356395
OLFML2A	0.399291594
KRT77	0.546807266
C1orf127	0.525455051
SMG5	-0.223730569
TCTE3	0.709758895
MAS1L	0.485983244
TMCO5A	-0.279574349
ZNF692	-0.258052773
DRD3	0.650768992
ARHGEF16	-0.377631159
VWA1	0.366739479
CUL3	-0.201223047
C3orf52	0.444581428
ASB7	-0.274535086
TCL6	0.402415114
UBR3	-0.413315601
LOC100129722	0.304729185
SIPA1L1	0.209769582
CHRDL1	0.729521719
POTED	0.247260852
BGN	0.582531016
BAIAP2L2	-0.377145257
C7orf46	-0.32557802
EXOSC4	0.201252604
THEM5	0.799907695
RNFT1	-0.242348229
C17orf104	0.452307607
TJAP1	-0.22578011
MGC15705	-0.389316449
BTBD1	-0.216668127
SRBD1	-0.301868375
NTSR2	0.601778082
KIAA1370	-0.300808638
C11orf58	-0.199761517
ZNF7	-0.264210975
FMR1NB	0.724666931
LOC100128281	0.428049057
ZFYVE16	-0.365251717
LOC400027	-0.312024011
TLK1	-0.456521849
GATSL3	0.296133107
SNHG6	-0.175654437
USO1	-0.219551244
CPPED1	-0.171244216
ABHD6	0.244212039
LOC554223	-0.404534637
GIPC2	0.622927165
TNPO3	-0.184145217
PPIC	-0.344290157
GTPBP1	-0.25241228
C1QL4	-0.248672205
ZNF331	-0.549198388
AAA1	0.48723869
KCTD6	-0.259856644
SPRN	0.446586001
SNX22	-0.593721541
ZNF8	-0.196231076
ROBO2	0.406035036
SHPK	0.219490906
GRM1	-0.347840328
LSAMP	-0.521251772
ARHGAP15	-0.278116357
LOC283454	0.411403539
FBXW5	0.182116041
RIMKLB	-0.532751856
LRRC61	-0.339023951
NOSIP	0.230155377
MRPL52	0.171294248
PCDH1	0.444125146
RBM25	-0.254322428
INO80E	-0.184352755
ATF6	0.226495378
GPR39	0.55438111
JAK2	-0.319361481
OR10H2	0.421920066
HDGFL1	0.41440168
MTX2	-0.184744294
FBN3	0.337865799
MAPK10	0.383975276
HLA-DPA1	-0.244028087
DMRTA2	-0.347539814
C9orf9	-0.291060612
RABIF	-0.43397275
ZNF222	-0.447775816
RGS5	0.686629334
FAM187B	0.378969318
LOC389765	-0.351056592
UGT2B10	0.459336211
LOC550112	-0.318863187
ZNF764	-0.438810834
BMS1P1	-0.52530109
PTCH1	0.444358216
ETFB	0.14736094
FAM46B	0.501333619
FLJ22763	0.855257685
DLL1	-0.529193674
WDR59	-0.249865198
ADAD1	0.486475397
LOC728684	0.625964836
OR4C13	0.483530969
C1orf106	-0.406814689
LYSMD4	-0.230173959
LOC286058	0.426732104
LOC100128398	-0.439638252
EFCAB4B	0.391630912
DKFZP586I1420	-0.407015481
RAB3D	0.470915161
SH3BP2	-0.431716462
TRAIP	0.239018816
COX7A1	0.480005587
IER3IP1	-0.269650396
SNAR-C4	0.634940645
DVL1	-0.178021565
RTDR1	-0.55863704
BMP7	0.600770823
ADAM15	0.222300844
AMFR	-0.216556929
ZNF83	-0.435365044
LOC646862	0.487034765
CLEC12A	-0.307167515
LOC100132146	0.33006473
CCDC77	-0.226672237
ARHGAP9	-0.23503019
ZNF830	-0.240059612
CDH4	0.87259458
KRTAP5-5	0.472066862
RACGAP1	0.356366586
PDLIM4	0.47228003
FTMT	0.465687696
C1orf173	-0.489856544
TXNDC9	-0.212394166
BDKRB1	-0.291264254
JARID2	0.257299227
KPRP	0.449967673
TFAP4	-0.278049232
CEMP1	0.659880688
BRP44	0.157272963
NKIRAS1	-0.397120347
CLPTM1	-0.386272161
TAS2R43	-0.411040307
VGLL3	0.391032994
C6orf138	0.736850226
DEFB123	0.43159252
PLAGL1	-0.251389605
CTDSP1	-0.194577067
STMN4	0.476394024
LOC100129312	0.383626501
GAR1	-0.156846048
RGS8	0.651205838
TNP1	0.838739084
LOC286063	0.222042239
DUSP3	-0.259638223
BTN3A2	-0.341137176
CLDN2	-0.498685384
MFF	-0.172936672
AICDA	-0.549285602
PGM2L1	-0.361684161
C4orf34	-0.197731205
EAF2	0.232883124
ARL10	-0.437885523
LOC100129216	0.418030815
CDYL	-0.213702004
P2RX2	0.284940159
BARHL2	1.023535036
SURF6	-0.281946111
PPM1J	-0.332202216
LOC285286	0.786638035
RADIL	0.265385998
VLDLR	-0.373197157
SFTA3	0.557300545
LEPROT	-0.256462771
FKRP	-0.322507033
CSTF1	-0.180354906
ZC3HAV1L	0.532998396
DACT1	0.538512711
MSN	-0.168647267
ARID3C	0.756888683
DMBT1	0.627347365
LOC732275	0.650726758
RLTPR	0.292858718
TFR2	0.38754468
FANCI	0.273009181
LOC100129148	-0.320361241
THBS2	0.42036107
SPATA3	0.45101996
SPACA5	0.794207845
CYP7B1	0.478040011
RBP5	0.408576682
DSCR10	0.400125832
NBR1	-0.194274469
ACTR3C	-0.489700736
MGC12488	-0.414453316
LOC100129393	0.596715363
EDNRA	0.413235255
RHOT2	-0.243929294
ZFAND4	-0.402280393
AHDC1	0.371860364
ZC3H12B	-0.14994989
TIFAB	-0.484457624
PPIL6	-0.442209919
SEPN1	0.36298031
IL24	0.778673859
CLDN24	0.548915126
DDX24	-0.390410835
TEX13B	0.393862891
CAPN3	-0.287812401
PRTFDC1	0.477403005
STXBP6	0.544013682
LOC340512	0.344490061
CRYBA4	0.360411575
C11orf31	-0.193163291
MXD4	-0.343338423
CCDC9	0.205914527
OR51F2	0.164546838
C1orf74	-0.415904078
IL17RE	0.296160361
CCDC78	0.470572677
RANBP17	0.47086406
ZNF674	-0.347687043
NT5E	0.608630563
SEPT6	-0.274416046
XDH	0.635336012
GKN2	0.461732581
HRASLS2	-0.681234106
FSHR	-0.390615911
OR7E5P	-0.434241722
PMFBP1	0.319588035
TMC3	0.541550686
CHMP2B	-0.249978227
NKAIN4	0.39718243
ZNF624	-0.401262331
ZBTB44	-0.292841472
NUP133	-0.194918066
HDAC5	-0.319821247
EBAG9	-0.198580935
LOC100130157	-0.352147661
BHMT	0.462282827
GABRB1	0.317754343
COL9A1	0.357093748
IER5L	0.286799469
UROS	0.242122048
KRTAP12-4	0.341501884
FASTK	-0.172972973
FAM131A	-0.38578007
TMTC4	-0.281008705
RABL3	-0.345982341
PARM1	-0.379028023
RAB5A	-0.201894122
ZNF248	-0.398708546
C9orf131	0.39023992
PSMA8	-0.366547427
OR2M7	0.618176234
TTYH2	-0.475279428
HOXB3	-0.394099139
ZNF557	-0.32446741
HIST2H2AC	0.369361247
PMCH	-0.42793587
LOC641467	-0.323515839
ABLIM1	-0.598159136
LOC284788	0.122522944
RPP38	-0.188751611
EXOC4	-0.447546544
LOC648570	0.551510048
LOC731223	0.370433436
C11orf88	-0.617944651
PTPN14	0.522890202
PIGT	-0.20485111
PSEN2	-0.195934483
SNAR-G1	0.589755304
FAM57B	0.565134225
PDE3A	0.700607362
SHANK2	0.626938495
ZFYVE20	-0.274356193
LDLR	0.310998838
PRAMEF7	0.374740822
HIST1H2BJ	0.468044475
FANCG	0.2035806
SLC22A18	-0.213694078
FBXW8	-0.391870772
LOC285627	-0.301472503
CHERP	-0.328484465
LOC645722	0.416151652
NR1H2	-0.375818176
TMEM61	0.535666981
NR2E3	0.732494431
SLC22A2	-0.386272816
CELA2A	-0.679765862
OR52E4	0.771679228
ANKRD30B	0.436755669
RFESD	-0.331954919
TMCO2	-0.481633893
LOC100129974	0.368465224
GNE	-0.187023133
AGAP7	-0.372815867
CELA3B	0.442506724
CLIC2	-0.278801152
UBA5	-0.361282802
LOC440149	-0.418245709
CDH9	0.384037632
ARAF2P	0.31084986
PRMT8	0.446680724
INS	0.382440822
TNFRSF21	0.352874187
PIH1D2	-0.452134027
LOC100130458	0.692558613
DUSP23	0.162847511
TLR6	0.479143064
KIF1C	-0.158956648
SDC4	0.319155369
DPP8	-0.226293263
GORAB	-0.344756028
KLK6	0.393403341
KIAA1984	0.638958599
TCF25	-0.245766718
S100PBP	-0.260768368
PDGFRB	-0.374577877
TGM2	-0.463444444
PPP1R13L	-0.437564053
IFIH1	-0.271838739
ARCN1	0.264353323
OS9	-0.209185083
GLI4	-0.32547731
FLJ13224	0.627862033
AKAP14	-0.48452823
KLHL10	-0.570086527
LGSN	0.206811789
POLR2L	0.193104168
ASB8	-0.296954877
ALKBH4	-0.263603656
OR4D11	-0.483615532
SPOPL	-0.385413345
ZNF292	-0.40840294
GPBP1	-0.233695566
PTGES	0.638631725
NT5C1B	0.473989624
LOC100130890	0.34746477
CX3CL1	0.40300924
ACCN2	0.450373593
ARAP2	-0.281933827
CEACAM21	-0.507204613
C8G	0.399195966
KIAA1267	-0.225661129
ANKRD31	0.368813247
RAB8A	-0.17842283
ANAPC1	-0.218102927
C1D	-0.192691384
ZNF699	-0.438214917
LOC729987	0.202963607
ZNF323	-0.455715562
ST5	-0.384336565
MKRN1	-0.224969314
OR2V2	0.239194299
SMOX	0.597595876
HIST1H4E	0.457307957
CCDC28A	-0.169365315
OR2AG2	0.509434147
NEUROG3	0.280218174
SERPINA6	0.408101583
PHTF1	-0.33185681
WRN	-0.230722571
SNCG	0.361608591
ALS2CR11	0.365849026
IFNAR1	0.216072419
MYADM	-0.262179637
PARP15	-0.47436775
CDH16	0.484274609
UTP14C	-0.348418173
LOC286382	0.445691771
TDGF1	0.908516132
RANBP6	-0.390484929
OR52H1	0.339652729
RARRES3	-0.350432628
KIAA1737	-0.185255803
NUS1	-0.222186561
OPRK1	-0.61260652
HBM	0.587660353
MEPE	0.627571996
RPL17	-0.251962897
SUCLG2	-0.262256984
RBM23	-0.241507709
PDXDC2P	-0.46262609
COL4A6	-0.16735827
THY1	0.39981423
MBOAT7	0.284995036
C15orf41	-0.319843274
C13orf30	0.536028147
SLC2A7	0.532821866
PAX4	0.358290805
SUPT3H	-0.41667551
ZNF530	-0.401556163
LRRC49	-0.648259907
ITSN2	0.348699005
MTMR4	-0.21566744
LOC729444	0.60277638
TAGLN2	-0.287897841
SYNPO	-0.643868484
LOC553103	-0.572010759
SLC15A2	-0.343540468
GK2	0.320649735
CINP	0.193313408
KPNA3	-0.218111667
CDRT15	0.744193322
CCDC88C	-0.540602902
C12orf35	-0.312587267
C14orf166	-0.179266014
SLC46A2	-0.468654061
LOC100133920	-0.44096908
DNASE2	-0.315862979
NPM1	-0.210952578
FBXW11	-0.183240014
RPP25	0.383533355
SCARNA1	-0.503574748
F11	0.493667484
FXR1	-0.212608497
OR5T3	-0.301530019
LOC340178	0.569557555
ILF3	-0.188564463
LRRTM2	0.294585343
FARP2	-0.447133785
KIAA0100	-0.188532381
CSMD1	0.47919539
HLA-DRA	-0.245470846
PPT2	-0.31271736
OSTF1	-0.206170742
PADI2	0.607284309
AVPI1	-0.281471567
LYPD1	0.465455634
ENO1	0.252508086
DDX42	-0.17952562
VKORC1L1	0.196672193
MPRIP	-0.295246944
PDCD5	-0.1780396
LOC147646	-0.335707972
GDF7	0.406318976
RB1	-0.218411529
MAMSTR	0.37315513
MYOCD	0.562208492
LOC254100	-0.385360674
FLJ41484	-0.552702665
PCGF6	-0.397708473
NAIF1	-0.225182353
C8orf71	-0.363064087
FAM160A1	0.404400343
DPCR1	0.633838843
NCOA4	-0.223100548
VPS4B	-0.230384796
ACTC1	0.431656655
LOC391767	0.421993484
KIF3B	-0.214329659
TMPRSS13	-0.356483016
TBC1D25	-0.359384286
ALMS1	-0.330309156
ITGB1BP1	0.189178739
DDAH1	0.620675889
C2orf53	0.404429765
C16orf82	0.813149224
CRHR2	0.444538536
SLC6A18	0.428531874
PATZ1	-0.390396868
GPBP1L1	-0.174769878
SMPDL3A	0.495270994
FBXL2	-0.453482719
PPARG	-0.359662216
LOC100147773	-0.370026228
TRIM39	-0.212244518
POP5	-0.162760651
ZMYM3	-0.299661319
C8orf42	0.331075349
CA1	0.692596044
C19orf71	0.803177883
ABI3BP	0.53705034
OR4M1	0.689650854
PLA2G4C	-0.43704321
KIAA0196	-0.185992845
ARSD	-0.192168006
NEIL3	0.587503911
SERINC2	0.356335198
DUSP9	0.470506158
RNF4	-0.151056298
LARP4	-0.31247344
FGF10	-0.603266336
ZNF92	-0.326190729
ITPK1	-0.289438591
DHRS3	-0.239071657
FHAD1	-0.386397849
DEPDC1	0.425074776
LOC439950	0.470948103
PAX8	0.507906886
PSAP	-0.299357326
SSTR2	0.754530865
MRPL13	-0.196142008
C1orf31	-0.211606062
AHNAK	-0.241332116
ATP6V0A1	-0.241267419
DECR1	-0.218276719
IL28A	0.321304261
HMGA2	0.586475143
RABGAP1	-0.286278909
TRIM35	-0.233622699
RPRML	0.274332861
HLA-DRB4	-0.361744435
NRBP2	-0.479906473
DBI	0.197888901
TERF1	-0.211509037
ZNF787	0.290945266
CA10	0.132233521
CARD9	-0.218936757
MYO1D	0.567957379
IGSF8	-0.328123989
CCDC75	-0.363358872
OCEL1	-0.256033465
KCNK15	0.268411985
LOC283665	0.618416577
KRT1	0.645543366
LOC644285	-0.175442386
PEG3	0.574146359
TMEM183B	0.142843973
HERPUD1	-0.221131965
TROAP	0.368802066
AP4B1	-0.293636361
TMEM98	0.673690606
SCEL	0.513694636
FGFRL1	-0.34639568
LOC283547	0.314398228
TBC1D10A	-0.165419488
C11orf93	-0.198158325
SHB	-0.340056517
OCLN	0.516827486
PARVG	-0.203722368
MLPH	-0.411868705
SURF2	0.220952712
LRRC4B	0.438077219
POLR2K	-0.246168309
C15orf17	-0.418408366
ESYT2	-0.238473191
METTL6	-0.249984909
NTRK1	0.527719361
LOC100129112	-0.364562791
ZNF670	-0.370198788
SPATC1	-0.414543173
GAFA3	0.619649591
C3orf38	-0.21658764
CD93	0.508523241
PIP5KL1	0.548809321
OR2T12	0.699219148
PARP4	-0.405660051
FAM135B	0.486746408
TSG101	-0.196003263
EXOSC7	0.17023429
KRT42P	0.42400584
NPR2	-0.323079324
LOC399829	0.263882423
HERC4	-0.223849984
POLR3F	-0.383015622
HES5	0.343236424
GCM2	1.012162364
GSG2	0.37430114
ZBTB9	-0.333969767
STAM2	-0.310651076
SYT2	0.41972102
LYSMD1	-0.453350828
SLC1A6	0.334773495
TBL1X	-0.240641808
NRP1	-0.271476382
MOV10	-0.258888044
ATP11A	-0.148791089
EDC4	-0.185285821
RPSAP52	0.179482635
LOC285954	-0.487357372
MRPS31	-0.172966328
CRYBA2	0.336700486
CIB4	0.322687272
GRAMD2	-0.170488879
FLCN	0.221217433
MRPL42	-0.252118103
BMS1P4	-0.341753743
TBC1D3G	-0.419292041
TNPO1	-0.318249638
GGTLC2	0.271795634
SAMD14	0.482458202
HES1	0.472959666
MYO15A	-0.458569861
KRTAP10-6	0.314618123
PLEKHJ1	0.19814407
PEBP4	0.463444636
XCR1	0.302945393
BBOX1	0.662508989
POTEB	0.490899836
CCDC19	-0.506213565
LOC100134409	0.647358168
LOC100131015	-0.429690678
TERC	0.337519309
RFX3	-0.382287766
ITIH1	0.45124134
ASPN	0.821041544
LCN1	0.581489427
RGS12	-0.270570113
DENND1A	0.326026318
SLC26A10	0.376128868
NBPF1	-0.352477048
FAM83D	0.479257776
CTBP2	-0.178335582
OSGEPL1	-0.334892386
SPAG11B	0.411536783
LOC100129648	0.459568961
CCDC62	0.630923104
LOC100131366	0.333865141
LRRC37B	-0.223322773
CUL4B	-0.287491669
ZNF184	-0.364206499
SCGB1A1	-0.783280515
CAPS	-0.452482291
BUD31	0.140124176
C2orf48	0.454103687
NDUFS6	0.142603313
CXorf27	0.33482357
SNPH	-0.370044086
LOC100130417	0.310783222
NUDT2	0.211324624
PLEKHG5	0.338924595
MTNR1B	0.365221163
DLL3	0.409227203
LXN	-0.200978385
C15orf29	-0.476707543
HEG1	-0.283897333
